hiring_manager: deepsearch; similarity_score: 0.99999
hiring_manager: manpageman; similarity_score: 0.81052
hiring_manager: geverett; similarity_score: 0.81051
hiring_manager: g06; similarity_score: 0.80207
hiring_manager: cllns; similarity_score: 0.78571
hiring_manager: lesleyann25; similarity_score: 0.78571
hiring_manager: untilHellbanned; similarity_score: 0.78570
hiring_manager: edent; similarity_score: 0.78570
hiring_manager: beaverfox; similarity_score: 0.78570
hiring_manager: reubendoetsch; similarity_score: 0.78570
hiring_manager: milewska; similarity_score: 0.78570
hiring_manager: dalys; similarity_score: 0.76999
hiring_manager: greenjellybean; similarity_score: 0.76999
hiring_manager: spot; similarity_score: 0.76999
hiring_manager: S4M; similarity_score: 0.76237
hiring_manager: doxcf434; similarity_score: 0.76237
hiring_manager: justhw; similarity_score: 0.76237
hiring_manager: pouloum78; similarity_score: 0.75490
hiring_manager: ninetax; similarity_score: 0.75489
hiring_manager: roybarberuk; similarity_score: 0.74757
hiring_manager: yavery; similarity_score: 0.74038
hiring_manager: darrennix; similarity_score: 0.74037
hiring_manager: k1w1; similarity_score: 0.71962
hiring_manager: feverishaaron; similarity_score: 0.71962
hiring_manager: ugh123; similarity_score: 0.71961
hiring_manager: finnh; similarity_score: 0.70641
hiring_manager: samuelbrin; similarity_score: 0.70641
hiring_manager: burnout1540; similarity_score: 0.69999
hiring_manager: amac; similarity_score: 0.69369
hiring_manager: edziubudzik; similarity_score: 0.68141
hiring_manager: imdane; similarity_score: 0.68140
hiring_manager: ehberger; similarity_score: 0.68140
hiring_manager: jorgecastillo; similarity_score: 0.66955
hiring_manager: pohungc; similarity_score: 0.66378
hiring_manager: biomimic; similarity_score: 0.66378
hiring_manager: lbo; similarity_score: 0.66378
hiring_manager: murtza; similarity_score: 0.66378
hiring_manager: jack7890; similarity_score: 0.65811
hiring_manager: kefeizhou; similarity_score: 0.65253
hiring_manager: frb; similarity_score: 0.64705
hiring_manager: pwman; similarity_score: 0.64705
hiring_manager: 7Figures2Commas; similarity_score: 0.64165
hiring_manager: marybheine; similarity_score: 0.63636
hiring_manager: realdlee; similarity_score: 0.63114
hiring_manager: statictype; similarity_score: 0.63114
hiring_manager: rfergie; similarity_score: 0.62601
hiring_manager: DustinCalim; similarity_score: 0.62601
hiring_manager: lsee; similarity_score: 0.62096
hiring_manager: 7parkdata; similarity_score: 0.62096
hiring_manager: damon_c; similarity_score: 0.60629
hiring_manager: annalewis7; similarity_score: 0.60629
hiring_manager: ivanzhao; similarity_score: 0.60155
hiring_manager: samingrassia; similarity_score: 0.60155
hiring_manager: brettz; similarity_score: 0.60155
hiring_manager: chrisdl; similarity_score: 0.60155
hiring_manager: kevinschumacher; similarity_score: 0.60155
hiring_manager: frisco; similarity_score: 0.60155
hiring_manager: retrodict; similarity_score: 0.60155
hiring_manager: kiyoto; similarity_score: 0.59689
hiring_manager: andrewmb; similarity_score: 0.59689
hiring_manager: jsaxton86; similarity_score: 0.59689
hiring_manager: drpancake; similarity_score: 0.59689
hiring_manager: eric_romo; similarity_score: 0.59230
hiring_manager: TheMakeA; similarity_score: 0.59230
hiring_manager: carlatqueue; similarity_score: 0.59229
hiring_manager: mmelin; similarity_score: 0.58778
hiring_manager: yegg; similarity_score: 0.58778
hiring_manager: JuliaLam; similarity_score: 0.58333
hiring_manager: Equiet; similarity_score: 0.58333
hiring_manager: artursapek; similarity_score: 0.58332
hiring_manager: spooneybarger; similarity_score: 0.57462
hiring_manager: wattenberger; similarity_score: 0.57036
hiring_manager: uwemaurer; similarity_score: 0.57036
hiring_manager: paradox95; similarity_score: 0.57036
hiring_manager: mattnguyen; similarity_score: 0.56617
hiring_manager: nschuett; similarity_score: 0.56616
hiring_manager: encore2097; similarity_score: 0.55797
hiring_manager: yonibaciu1; similarity_score: 0.55796
hiring_manager: dmritard96; similarity_score: 0.55796
hiring_manager: robg; similarity_score: 0.55796
hiring_manager: austinhallock; similarity_score: 0.55395
hiring_manager: dbuxton; similarity_score: 0.54999
hiring_manager: jszumski; similarity_score: 0.54999
hiring_manager: rasengan; similarity_score: 0.54609
hiring_manager: johnnyg; similarity_score: 0.54225
hiring_manager: fuelfive; similarity_score: 0.54224
hiring_manager: matlock; similarity_score: 0.53845
hiring_manager: maramaemartin; similarity_score: 0.53845
hiring_manager: florianf; similarity_score: 0.53471
hiring_manager: asanwal; similarity_score: 0.53471
hiring_manager: morgante; similarity_score: 0.53471
hiring_manager: cjbarber; similarity_score: 0.53102
hiring_manager: alphast0rm; similarity_score: 0.53102
hiring_manager: saucelabs; similarity_score: 0.52739
hiring_manager: gajomi; similarity_score: 0.52739
hiring_manager: wdewind; similarity_score: 0.52739
hiring_manager: vtuulos; similarity_score: 0.52380
hiring_manager: edawerd; similarity_score: 0.52380
hiring_manager: fchollet; similarity_score: 0.52026
hiring_manager: FUSAR_rs; similarity_score: 0.52026
hiring_manager: jdjdjd; similarity_score: 0.51676
hiring_manager: hgrttn; similarity_score: 0.51333
hiring_manager: dangoldin; similarity_score: 0.51332
hiring_manager: peter_mcrae; similarity_score: 0.51332
hiring_manager: myom; similarity_score: 0.50992
hiring_manager: espinchi; similarity_score: 0.50992
hiring_manager: alexk; similarity_score: 0.50656
hiring_manager: Renat; similarity_score: 0.50326
hiring_manager: Mynar; similarity_score: 0.50326
hiring_manager: baran; similarity_score: 0.50326
hiring_manager: ben336; similarity_score: 0.49999
hiring_manager: kdavari; similarity_score: 0.49999
hiring_manager: jjnvdm; similarity_score: 0.49999
hiring_manager: salar; similarity_score: 0.49676
hiring_manager: Symbol; similarity_score: 0.49676
hiring_manager: joanatello; similarity_score: 0.49044
hiring_manager: propellerhat; similarity_score: 0.49044
hiring_manager: mrw34; similarity_score: 0.49043
hiring_manager: hglaser; similarity_score: 0.48733
hiring_manager: geori; similarity_score: 0.48733
hiring_manager: sidjoshi; similarity_score: 0.48733
hiring_manager: choult; similarity_score: 0.48733
hiring_manager: PhantomPhreak; similarity_score: 0.48427
hiring_manager: FreshPuzzles; similarity_score: 0.48427
hiring_manager: wiredd; similarity_score: 0.48124
hiring_manager: escherize; similarity_score: 0.48124
hiring_manager: BGCivis; similarity_score: 0.47825
hiring_manager: zacharypinter; similarity_score: 0.47530
hiring_manager: bowmanb; similarity_score: 0.47238
hiring_manager: RaizlabsTalent; similarity_score: 0.47238
hiring_manager: clieu1; similarity_score: 0.46666
hiring_manager: nichol4s; similarity_score: 0.46666
hiring_manager: gsiener; similarity_score: 0.46665
hiring_manager: JayNeely; similarity_score: 0.46665
hiring_manager: ashleyjohn; similarity_score: 0.46107
hiring_manager: davidw; similarity_score: 0.45832
hiring_manager: Theranos; similarity_score: 0.45561
hiring_manager: loganfrederick; similarity_score: 0.45561
hiring_manager: knes; similarity_score: 0.45029
hiring_manager: clarkevans; similarity_score: 0.45028
hiring_manager: ssk2; similarity_score: 0.45028
hiring_manager: jpwagner; similarity_score: 0.45028
hiring_manager: axiom; similarity_score: 0.45028
hiring_manager: chollida1; similarity_score: 0.45028
hiring_manager: Andrew_Metail; similarity_score: 0.44767
hiring_manager: cwc22; similarity_score: 0.44766
hiring_manager: jhmaddox; similarity_score: 0.44766
hiring_manager: mrbird; similarity_score: 0.44508
hiring_manager: darrenkopp; similarity_score: 0.44252
hiring_manager: grydstedt; similarity_score: 0.44252
hiring_manager: Dejeanakay; similarity_score: 0.44252
hiring_manager: kscottz; similarity_score: 0.43999
hiring_manager: meaydinli; similarity_score: 0.43999
hiring_manager: chrisduesing; similarity_score: 0.43749
hiring_manager: mateodelnorte; similarity_score: 0.43749
hiring_manager: nkoren; similarity_score: 0.43502
hiring_manager: omarish; similarity_score: 0.43502
hiring_manager: sciurus; similarity_score: 0.43502
hiring_manager: squirrel; similarity_score: 0.43258
hiring_manager: mburst; similarity_score: 0.43257
hiring_manager: dannysu; similarity_score: 0.43257
hiring_manager: sam; similarity_score: 0.43016
hiring_manager: d0m; similarity_score: 0.43016
hiring_manager: klochner; similarity_score: 0.42541
hiring_manager: davidshariff; similarity_score: 0.42541
hiring_manager: kenrose; similarity_score: 0.42540
hiring_manager: soundandfeury; similarity_score: 0.42307
hiring_manager: biggitybones; similarity_score: 0.42076
hiring_manager: evaneykelen; similarity_score: 0.42075
hiring_manager: BMarkmann; similarity_score: 0.41847
hiring_manager: asolove; similarity_score: 0.41847
hiring_manager: breckognize; similarity_score: 0.41846
hiring_manager: alexose; similarity_score: 0.41620
hiring_manager: nikhaldi; similarity_score: 0.41620
hiring_manager: dwiel; similarity_score: 0.41620
hiring_manager: yesimahuman; similarity_score: 0.41397
hiring_manager: freyil; similarity_score: 0.41397
hiring_manager: DLarsen; similarity_score: 0.41397
hiring_manager: twymer; similarity_score: 0.41397
hiring_manager: jason_allen; similarity_score: 0.41397
hiring_manager: olivercameron; similarity_score: 0.41175
hiring_manager: jkoc; similarity_score: 0.40957
hiring_manager: bgriggs1; similarity_score: 0.40740
hiring_manager: YelpEngineering; similarity_score: 0.40740
hiring_manager: jasoncrawford; similarity_score: 0.40740
hiring_manager: mandoescamilla; similarity_score: 0.40526
hiring_manager: mpdaugherty; similarity_score: 0.39896
hiring_manager: hafabnew; similarity_score: 0.39690
hiring_manager: stockninja; similarity_score: 0.39487
hiring_manager: sridevizarin; similarity_score: 0.39486
hiring_manager: infer; similarity_score: 0.39486
hiring_manager: brendan_gill; similarity_score: 0.39285
hiring_manager: rvivek; similarity_score: 0.39284
hiring_manager: jlees; similarity_score: 0.39086
hiring_manager: eugeneiiim; similarity_score: 0.39085
hiring_manager: conversica; similarity_score: 0.38888
hiring_manager: vonnik; similarity_score: 0.38888
hiring_manager: Gyffindor; similarity_score: 0.38307
hiring_manager: xiongww; similarity_score: 0.38307
hiring_manager: pashabitz; similarity_score: 0.38307
hiring_manager: santiycr; similarity_score: 0.38307
hiring_manager: thethimble; similarity_score: 0.38118
hiring_manager: bootstraponline; similarity_score: 0.37930
hiring_manager: rprovey; similarity_score: 0.37930
hiring_manager: noobuser123; similarity_score: 0.37745
hiring_manager: astralship; similarity_score: 0.37744
hiring_manager: ndonnellan; similarity_score: 0.37744
hiring_manager: sethbannon; similarity_score: 0.37560
hiring_manager: djyoo; similarity_score: 0.37378
hiring_manager: pandamcbonesaw; similarity_score: 0.37378
hiring_manager: svec; similarity_score: 0.37377
hiring_manager: tianyicui; similarity_score: 0.37018
hiring_manager: tharshan09; similarity_score: 0.37018
hiring_manager: antoviaque; similarity_score: 0.36842
hiring_manager: dh0913; similarity_score: 0.36841
hiring_manager: AaronLasseigne; similarity_score: 0.36666
hiring_manager: mikebabineau; similarity_score: 0.36492
hiring_manager: fheisler; similarity_score: 0.36320
hiring_manager: blo; similarity_score: 0.36320
hiring_manager: sian_OK; similarity_score: 0.36319
hiring_manager: hseikaly; similarity_score: 0.36150
hiring_manager: Clairesheng; similarity_score: 0.36149
hiring_manager: brandonthejames; similarity_score: 0.35813
hiring_manager: scottaj2; similarity_score: 0.35813
hiring_manager: zeiler; similarity_score: 0.35647
hiring_manager: azinman2; similarity_score: 0.35647
hiring_manager: Bahamut; similarity_score: 0.35483
hiring_manager: jontonsoup; similarity_score: 0.35483
hiring_manager: sinak; similarity_score: 0.35483
hiring_manager: EmilLondon; similarity_score: 0.35482
hiring_manager: jakestein; similarity_score: 0.35482
hiring_manager: diego; similarity_score: 0.35320
hiring_manager: jonbischke; similarity_score: 0.35320
hiring_manager: bambootalent; similarity_score: 0.35320
hiring_manager: JJMalina; similarity_score: 0.35320
hiring_manager: kcrossisec; similarity_score: 0.35159
hiring_manager: martinshen; similarity_score: 0.34999
hiring_manager: sqs; similarity_score: 0.34999
hiring_manager: Synergyse; similarity_score: 0.34999
hiring_manager: fortpoint; similarity_score: 0.34840
hiring_manager: arobbins; similarity_score: 0.34684
hiring_manager: bjelkeman-again; similarity_score: 0.34684
hiring_manager: sparkman55; similarity_score: 0.34683
hiring_manager: jarmitage; similarity_score: 0.34374
hiring_manager: _br; similarity_score: 0.34374
hiring_manager: noahbrier; similarity_score: 0.33477
hiring_manager: georgespencer; similarity_score: 0.33477
hiring_manager: bostik; similarity_score: 0.33332
hiring_manager: ILIKEPONIES; similarity_score: 0.33189
hiring_manager: oms1005; similarity_score: 0.33188
hiring_manager: tair; similarity_score: 0.32905
hiring_manager: gsastry; similarity_score: 0.32765
hiring_manager: swampthing; similarity_score: 0.32626
hiring_manager: waseems; similarity_score: 0.32352
hiring_manager: paulc; similarity_score: 0.32216
hiring_manager: michaelhoffman; similarity_score: 0.32216
hiring_manager: tqn; similarity_score: 0.32216
hiring_manager: cairo140; similarity_score: 0.32216
hiring_manager: shedd; similarity_score: 0.32082
hiring_manager: gnidan; similarity_score: 0.32082
hiring_manager: the_gigi; similarity_score: 0.32082
hiring_manager: mapdock; similarity_score: 0.31817
hiring_manager: arach; similarity_score: 0.31817
hiring_manager: bbeck; similarity_score: 0.31686
hiring_manager: zaidos; similarity_score: 0.31556
hiring_manager: daveoflynn; similarity_score: 0.31428
hiring_manager: woodhull; similarity_score: 0.31427
hiring_manager: andrewforee; similarity_score: 0.31300
hiring_manager: jennifer_scroll; similarity_score: 0.31047
hiring_manager: kmano8; similarity_score: 0.30923
hiring_manager: JimboOmega; similarity_score: 0.30676
hiring_manager: mbesto; similarity_score: 0.30676
hiring_manager: lightningstorm; similarity_score: 0.30434
hiring_manager: iis_zephyr; similarity_score: 0.30434
hiring_manager: meritt; similarity_score: 0.30433
hiring_manager: sb_ba; similarity_score: 0.30314
hiring_manager: azth; similarity_score: 0.30195
hiring_manager: jnenglish; similarity_score: 0.30195
hiring_manager: vaxtrac; similarity_score: 0.29844
hiring_manager: snowmaker; similarity_score: 0.29729
hiring_manager: ncbk12; similarity_score: 0.29388
hiring_manager: matm; similarity_score: 0.29277
hiring_manager: minichate; similarity_score: 0.29277
hiring_manager: jasonparekh; similarity_score: 0.29276
hiring_manager: alexthornton; similarity_score: 0.29166
hiring_manager: bsnyder; similarity_score: 0.29055
hiring_manager: jhdavids8; similarity_score: 0.28838
hiring_manager: cwhiten; similarity_score: 0.28730
hiring_manager: boyd; similarity_score: 0.28623
hiring_manager: rchiba; similarity_score: 0.28308
hiring_manager: JangoSteve; similarity_score: 0.27797
hiring_manager: blakeweb; similarity_score: 0.27499
hiring_manager: ejdyksen; similarity_score: 0.27304
hiring_manager: capkutay; similarity_score: 0.27016
hiring_manager: conorgil145; similarity_score: 0.26922
hiring_manager: courtneypowell; similarity_score: 0.26101
hiring_manager: bitcrusher; similarity_score: 0.25925
hiring_manager: jjarmoc; similarity_score: 0.25666
hiring_manager: spang; similarity_score: 0.25496
hiring_manager: chrchr; similarity_score: 0.24443
hiring_manager: atto; similarity_score: 0.24443
hiring_manager: helloshow; similarity_score: 0.23619
hiring_manager: pensieri; similarity_score: 0.22448
hiring_manager: greattypo; similarity_score: 0.22382
hiring_manager: ddtruong17; similarity_score: 0.21874
hiring_manager: BWStearns; similarity_score: 0.19693
hiring_manager: makmanalp; similarity_score: 0.19201
hiring_manager: brendankemp; similarity_score: 0.18376
hiring_manager: frabrunelle; similarity_score: 0.13094
